Position	Height
Catcher	74.00
Catcher	74.00
Catcher	72.00
First_Baseman	72.00
First_Baseman	73.00
Second_Baseman	69.00
Shortstop	69.00
Third_Baseman	71.00
Third_Baseman	76.00
Outfielder	71.00
Outfielder	73.00
Outfielder	73.00
Outfielder	74.00
Outfielder	74.00
Outfielder	69.00
Outfielder	70.00
Designated_Hitter	72.00
Starting_Pitcher	73.00
Starting_Pitcher	75.00
Starting_Pitcher	78.00
Starting_Pitcher	79.00
Starting_Pitcher	76.00
Starting_Pitcher	74.00
Starting_Pitcher	76.00
Relief_Pitcher	72.00
Relief_Pitcher	71.00
Relief_Pitcher	75.00
Relief_Pitcher	77.00
Relief_Pitcher	74.00
Relief_Pitcher	73.00
Relief_Pitcher	74.00
Relief_Pitcher	78.00
Relief_Pitcher	73.00
Relief_Pitcher	75.00
Relief_Pitcher	73.00
Catcher	75.00
Catcher	75.00
First_Baseman	74.00
Second_Baseman	69.00
Shortstop	71.00
Shortstop	74.00
Third_Baseman	73.00
Third_Baseman	73.00
Outfielder	76.00
Outfielder	74.00
Outfielder	74.00
Outfielder	70.00
Outfielder	72.00
Outfielder	77.00
Outfielder	74.00
Outfielder	70.00
Designated_Hitter	76.00
Designated_Hitter	75.00
Starting_Pitcher	73.00
Starting_Pitcher	75.00
Starting_Pitcher	76.00
Starting_Pitcher	76.00
Starting_Pitcher	78.00
Starting_Pitcher	74.00
Starting_Pitcher	74.00
Relief_Pitcher	76.00
Relief_Pitcher	77.00
Relief_Pitcher	81.00
Relief_Pitcher	78.00
Relief_Pitcher	75.00
Relief_Pitcher	77.00
Relief_Pitcher	75.00
Relief_Pitcher	76.00
Catcher	74.00
Catcher	72.00
Catcher	72.00
First_Baseman	75.00
First_Baseman	73.00
First_Baseman	73.00
First_Baseman	73.00
First_Baseman	70.00
Shortstop	70.00
Shortstop	70.00
Third_Baseman	76.00
Third_Baseman	68.00
Outfielder	71.00
Outfielder	72.00
Outfielder	75.00
Outfielder	75.00
Outfielder	75.00
Outfielder	75.00
Outfielder	68.00
Outfielder	74.00
Starting_Pitcher	78.00
Starting_Pitcher	71.00
Starting_Pitcher	73.00
Starting_Pitcher	76.00
Starting_Pitcher	74.00
Starting_Pitcher	74.00
Starting_Pitcher	79.00
Relief_Pitcher	75.00
Relief_Pitcher	73.00
Relief_Pitcher	76.00
Relief_Pitcher	74.00
Relief_Pitcher	74.00
Relief_Pitcher	73.00
Relief_Pitcher	72.00
Relief_Pitcher	74.00
Catcher	73.00
Catcher	74.00
Catcher	72.00
First_Baseman	73.00
Second_Baseman	69.00
Shortstop	72.00
Shortstop	73.00
Third_Baseman	75.00
Outfielder	75.00
Outfielder	73.00
Outfielder	72.00
Outfielder	72.00
Outfielder	76.00
Outfielder	74.00
Outfielder	72.00
Designated_Hitter	76.00
Starting_Pitcher	77.00
Starting_Pitcher	74.00
Starting_Pitcher	77.00
Starting_Pitcher	75.00
Starting_Pitcher	76.00
Starting_Pitcher	80.00
